INENVIO 08L0002956L1234567                                                 FANDE
Isinli.virus@zonalibros.com                        libreria@example.org                              ENVIO 08        
CVIRUS EDITORIAL I DISTRIBUIDORA SCCL    LIBRERIA DE EJEMPLO                     002001303 20240405ADN0000000000E                       
D978-84-15260-87-59788415260875     053000054      MEMORIA DE LOS MAQUIS, LA                          000010000002115000000220000300000400NF        515                                                                                                                                                              
D978-84-15862-30-79788415862307     032000136      A NUESTROS AMIGOS                                  000020000001154000000120000300000400NF        515       COMITÉ INVISIBLE                                                                                                                                       
D978-84-608-5532-39788460855323     250000009      FILOSOFIA EN EL TOCADOR                            000010000000577000000060000300000400NF        515       MIQUEL AMOROS                                                                                                                                          
D978-84-608-7336-59788460873365     093000006      SALDREMOS DE ESTA                                  000010000000365000000038000300000400NF        515       JAVIER ERRO                                                                                                                                            
D978-84-7290-475-09788472904750     036000026      MANIFIESTO PUTA                                    000010000001442000000150000300000400NF        515       BEATRIZ ESPEJO                                                                                                                                         
D978-84-7290-773-79788472907737     036000461      PER LA CORDA FLUIXA                                000010000001635000000170000300000400NF        515       ELOI BIOSCA/BIOSCA, ELOI                                                                                                                               
D978-84-92559-53-49788492559534     001000138      ANARQUISMO ES MOVIMIENTO                           000010000001154000000120000400000400NF        515       TOMAS IBAÑEZ                                                                                                                                           
D978-84-92559-68-89788492559688     001000342      FRAY DULCINO Y MARGARITA                           000010000000962000000100000400000400NF        515       TAVO BURAT/BURAT, TAVO                                                                                                                                 
D978-84-938960-9-69788493896096     074000020      EN DEFENSA D'AFRODITA                              000020000001154000000120000300000400NF        515       VARIOS                                                                                                                                                 
D978-84-944572-1-09788494457210     076000046      DIARIO DE UN INSUMISO PRESO                        000010000001346000000140000300000400NF        515                                                                                                                                                              
D978-84-945481-0-99788494548109     094000124      AUTOBIOGRAFIA ANGELA DAVIS (CapitánSwing)          000010000001923000000200000300000400NF        515       ANGELA DAVIS                                                                                                                                           
D978-84-96044-04-39788496044043     001000218      ASALTO A LA CULTURA                                000010000001250000000130000400000400NF        515       STEWART HOME                                                                                                                                           
D978-84-96614-51-29788496614512     033000020      DESEO HOMOSEXUAL                                   000010000001817000000189000300000400NF        515                                                                                                                                                              
D978-987-27390-4-19789872739041     398000001      ESCRITURA EN EL CUERPO, LA                         000010000000529000000055000300000400NF        515                                                                                                                                                              
D978-84-96584-18-19788496584181     015000059      JUICIO DE LOS NUEVE DE CATONSVILLE,EL              000010000001635000000170000300000400NF        515                                                                                                                                                              
D978-84-86864-86-69788486864866     079000014      ANARQUISMO Y EDUCACION (2ª edic)                   000010000000769000000080000300000400NF        515                                                                                                                                                              
D978-84-935704-5-39788493570453     032000121      NUCLEARIZACIÓN DEL MUNDO                           000010000001058000000110000300000400NF        515       SEMPUN, JAIME                                                                                                                                          
D978-84-92559-78-79788492559787     001000348      masculinidades y feminismo                         000010000001346000000140000400000400NF        515       AZPIAZU, JOKIN/AZPIAZU CARBALLO, JOKIN                                                                                                                 
D978-84-15862-91-89788415862918     032000176      AHORA                                              000020000001058000000110000300000400NF        515       COMITÉ INVISIBLE                                                                                                                                       
D978-84-92559-81-79788492559817     001000354      DESIERTO QUE VIENE, EL                             000020000000769000000080000400000400NF        515       MIKE DAVIS                                                                                                                                             
D978-84-697-6107-69788469761076     374000009      CINCO MUJERES CONTRA EL ZAR                        000020000001154000000120000300000400NF        515                                                                                                                                                              
D978-84-9888-793-89788498887938     020001178      AUTORIDAD PODER E INFLUENCIA                       000010000001923000000200000300000400NF        515       HENAR GALLEGO FRANCO                                                                                                                                   
D978-84-932232-3-69788493223236     007000015      MÁQUINA MALDITA                                    000010000000288000000030000000000400NF        515                                                                                                                                                              
D978-84-932232-2-99788493223229     007000014      DESTRUCTORES DE MAQUINAS, LOS                      000010000000288000000030000000000400NF        515                                                                                                                                                              
D978-84-92559-85-59788492559855     001000355      CALIBAN I LA BRUIXA (Virus)                        000010000002115000000220000400000400NF        515       SILVIA FEDERICI                                                                                                                                        
D978-84-15862-63-59788415862635     032000194      UN HABITAR MáS FUERTE QUE LA METRóPOLI             000020000000962000000100000300000400NF        515       CONSEJO NOCTURNO                                                                                                                                       
D978-84-15373-59-99788415373599     033000136      H ILUSTRADA DE LA TEORIA FEMINISTA                 000010000001433000000149000300000400NF        515       MARTA DE LA ROCHA                                                                                                                                      
D978-84-16227-24-29788416227242     034000048      PENSAMIENTO MONOGAMO TERROR POLIAMOROSO            000010000001635000000170000300000400NF        515       BRIGITTE VASSALLO                                                                                                                                      
D978-84-9888-834-89788498888348     020001191      NAKBA (Icaria)                                     000020000001827000000190000300000400NF        515       SALAH JAMAL                                                                                                                                            
D978-84-948710-7-89788494871078     094000210      ANTIFA                                             000030000001827000000190000300000400NF        515       MARK BRAY                                                                                                                                              
D978-84-940985-5-09788494098550     094000078      ASSATA SHAKUR. Una autobiografía                   000010000001923000000200000300000400NF        515       ASSATA SHAKUR                                                                                                                                          
D978-84-92559-91-69788492559916     001000369      ECOFASCISMO                                        000010000001635000000170000400000400NF        515       BIEHL, JANET/STAUDENMAIER, PETER                                                                                                                       
D978-84-949834-1-29788494983412     086000037      FEMINISMO Y UTOPÍA (Enclave)                       000010000001346000000140000300000400NF        515       Maria Verna, Anna                                                                                                                                      
D978-84-7290-934-29788472909342     036000804      GUÍA DE SUPERVIVENCIA PARA ADOLESCENTES TRANS      000010000001731000000180000300000400NF        515       OWL Y FOX FISHER                                                                                                                                       
D978-84-92559-94-79788492559947     001000371      ANARQUISMO SOCIAL O ANARQUISMO PERSONAL (2ed)      000010000000962000000100000400000400NF        515       MURRAY BOOKCHIN                                                                                                                                        
D978-84-16995-14-19788416995141     040000428      MORAL ANARQUISTA, LA (Viejo)                       000010000001154000000120000300000400NF        515       PIOTR ALEKSEEVI KROPOTKIN/KROPOTKIN, PIOTR                                                                                                             
D978-84-120442-2-59788412044225     087000066      FRATERNALMENTE EMMA                                000030000001731000000180000300000400NF        515       EMMA GOLDMAN                                                                                                                                           
D978-84-9888-905-59788498889055     020001255      INNOVACION SOCIAL COLECTIVA                        000010000001346000000140000300000400NF        515       Sergio Belda Miquel                                                                                                                                    
D978-84-120139-0-09788412013900     046000070      MANUAL DE LUCHA CONTRA EL CAMBIO CLIMÁTICO         000010000001442000000150000300000400NF        515       CAMARGO, JOAO/MARTÍN-SOSA, SAMUEL                                                                                                                      
D978-84-16698-16-59788416698165     415000007      AUGUST GIL MATAMALA                                000010000001923000000200000300000400NF        515       DAVID FERNANDEZ                                                                                                                                        
D978-84-944572-9-69788494457296     076000059      RADICALIZACIÓN DEL RACISMO, LA                     000010000001250000000130000300000400NF        515       AINHOA NADIA DOUHAINI/SALMA AMAZIAN                                                                                                                    
D978-84-16379-15-69788416379156     439000001      HUELGA DE LA CANADIENSE, LA                        000010000001923000000200000300000400NF        515       FERRAN AISA I PÀMPOLS                                                                                                                                  
D978-84-96044-92-09788496044920     001000327      CASO SCALA, EL                                     000010000000962000000100000400000400NF        515       XAVIER CAÑADAS GASCON                                                                                                                                  
