INENVIO 08LIB00002L1234567                                                 FANDE
Isinli@punxes.es                                   libreria@example.org                              ENVIO 08        
CLES PUNXES DISTRIBUIDORA S.L.           LIBRERIA DE EJEMPLO                     477423    20240501AFS0000000000E                       
D978-84-18998-46-19788418998461     151000342      DE LA MORAL TERRESTRE ENTRE LAS NUBES              000010000002587000000269000350000400NF        SANT JORDIALBA RICO, SANTIAGO                                                                                                                                    
D978-84-339-2299-19788433922991     140005264      IMAGEN INCESANTE, LA                               000020000002202000000229000350000400NF        SANT JORDIOLIVA, MERCÈ/BALLÓ, JORDI                                                                                                                              
D978-84-18972-49-29788418972492     184000161      HEM HAGUT DE MARXAR                                000040000001779000000185000350000400NF        SANT JORDIDE AHUMADA, LAIA                                                                                                                                       
D978-84-120228-4-19788412022841     451000001      HOMBRES (BLANCOS) CABREADOS                        000020000002019000000210000350000400NF        SANT JORDIKIMMEL, MICHAEL                                                                                                                                        
D978-84-339-1859-89788433918598     140005030      ÚLTIMA COLÒNIA, L'                                 000010000002010000000209000350000400NF        SANT JORDISANDS, PHILIPPE                                                                                                                                        
D978-84-10188-05-19788410188051     068000248      CONSCIÈNCIA O COL·LAPSE                            000010000001875000000195000350000400NF        SANT JORDIPIGEM, JORDI                                                                                                                                           
D978-84-339-9948-19788433999481     140004910      DYSPHORIA MUNDI                                    000020000002202000000229000350000400NF        SANT JORDIPRECIADO, PAUL B.                                                                                                                                      
D978-84-126300-2-29788412630022     431000064      DECONSTRUIR LAS DROGAS                             000020000002212000000230000350000400NF        SANT JORDISZALAVITZ, MAIA                                                                                                                                        
D978-84-19172-86-09788419172860     072000616      LO QUE PASA ES QUE TE QUIERO                       000010000002019000000210000350000400NF        SANT JORDIFUERTES, GLORIA                                                                                                                                        
D978-84-120685-7-39788412068573     431000019      AUSENCIA, EL CÁNCER Y YO                           000010000001827000000190000350000400NF        SANT JORDIRODRÍGUEZ GONZÁLEZ, CARMEN                                                                                                                             
D978-84-7651-315-69788476513156     006000471      UNIFORMIZACIÓN DEL MUNDO, LA                       000010000000769000000080000350000400NF        SANT JORDIZWEIG, STEFAN                                                                                                                                          
D978-84-339-2231-19788433922311     140005079      AEROSTATOS, LOS                                    000010000001721000000179000350000400NF        SANT JORDINOTHOMB, AMÉLIE                                                                                                                                        
D978-84-7329-297-99788473292979     060000123      CARTES A L'ANNA MURIÀ (1939-1956)                  000010000001630000000169500350000400NF        SANT JORDIRODOREDA, MERCÈ                                                                                                                                        
D978-84-18733-28-49788418733284     072000464      LIBRO DE GLORIA FUERTES, EL. NUEVA EDICIÓN         000010000002587000000269000350000400NF        SANT JORDIFUERTES, GLORIA                                                                                                                                        
D978-84-9841-183-69788498411836     004008730      POSEO MI ALMA OT-30                                000010000002394000000249000350000400NF        SANT JORDIFUSINI, NADIA                                                                                                                                          
D978-84-127824-1-79788412782417     418000145      TRANS                                              000030000002404000000250000350000400NF        SANT JORDIGRACE, LAURA JANE                                                                                                                                      
D978-84-19419-72-99788419419729     004002217      TRES DÍAS EN ORÁN                                  000010000001534000000159500350000400NF        SANT JORDIPLANTAGENET, ANNE                                                                                                                                      
D978-84-125763-2-09788412576320     451000002      MAGIA CRUDA                                        000010000002212000000230000350000400NF        SANT JORDIALEXANDER, PAUL                                                                                                                                        
D978-84-18998-68-39788418998683     151000352      FILOSOFÍA ES LA POLLA, LA                          000020000002356000000245000350000400NF        SANT JORDIGARCÍA AZKONOBIETA, TOMÁS                                                                                                                              
D978-84-15835-27-19788415835271     043000047      BRIGADES INTERNACIONALS                            000010000001731000000180000350000400NF        SANT JORDISTEIN, SYGMUNT                                                                                                                                         
D978-84-18857-75-19788418857751     130000463      GRAN LLIBRE DE LES BRUIXES CATALANES, EL           000010000002837000000295000350000400NF        SANT JORDIPRATS, JOAN DE DÉU                                                                                                                                     
D978-84-19392-15-29788419392152     036001235      SOY MILENA DE PRAGA                                000010000001683000000175000350000400NF        SANT JORDIZGUSTOVA, MONIKA                                                                                                                                       
D978-84-7765-312-79788477653127     101000147      MARY WOLLSTONECRAFT MARY SHELLEY                   000010000002212000000230000350000400NF        SANT JORDIGORDON, CHARLOTTE                                                                                                                                      
D978-84-339-8083-09788433980830     140004657      GRATITUDES, LAS                                    000010000001817000000189000350000400NF        SANT JORDIDE VIGAN, DELPHINE                                                                                                                                     
D978-84-19654-32-89788419654328     072000664      QUIJOTE LIBERADO                                   000020000002875000000299000350000400NF        SANT JORDIDE CERVANTES, MIGUEL                                                                                                                                   
D978-84-10025-01-19788410025011     072000724      QUÈ VOL DIR ENFADAR-SE?                            000010000001529000000159000350000400NF        SANT JORDITELLEGEN, TOON                                                                                                                                         
