INENVIO 08L0000999L000123401160                                            FANDE
Isinli@exemple.org                                 ejemploejemplo@example.org                        ENVIO 08        
CEXEMPLE EDICIONS                              DISTRIBUIDORA EXEMPLE             248595    20240514ADN0000000000E        
D978-84-323-1627-29788432316272     0140030015     HIJOS DE LOS DIAS                                 0000010000002298000000239000450000400NF                  GALEANO, EDUARDO                                                                                                                                       
D978-84-323-1644-99788432316449     0140221169     REBELION DE LOS CATALANES                         0000010000002587000000269000450000400NF                  ELLIOTT, JOHN H.                                                                                                                                       
D978-84-323-1768-29788432317682     0140030016     MUJERES                                           0000020000002106000000219000450000400NF                  GALEANO, EDUARDO                                                                                                                                       
D978-84-323-2009-59788432320095     0140221255     ORIGEN DEL CAPITALISMO                            0000010000001817000000189000450000400NF                  MEIKSINS WOOD, ELLEN                                                                                                                                   
D978-84-323-2064-49788432320644     0140250002     INVENCION DE LOS SEXOS                            0000010000002163000000225000450000400NF                  CICCIA, LU                                                                                                                                             
D978-84-323-2070-59788432320705     0140030027     FUTBOL A SOL Y SOMBRA                             0000010000002202000000229000450000400NF                  GALEANO, EDUARDO                                                                                                                                       
D978-84-323-2071-29788432320712     0140080002     CAPITALISMO CANIBAL                               0000020000002106000000219000450000400NF                  FRASER, NANCY                                                                                                                                          
D978-84-323-2076-79788432320767     0140030029     LIBRO DE LOS ABRAZOS                              0000040000002298000000239000450000400NF                  GALEANO, EDUARDO                                                                                                                                       
D978-84-323-2088-09788432320880     0140300001     PURO SUFRIMIENTO                                  0000030000002115000000220000450000400NF                  ROBERTS, MARY LOUIS                                                                                                                                    
D978-84-323-2090-39788432320903     0140280007     GRAN EXTRANJERA                                   0000030000002115000000220000450000400NF                  FOUCAULT, MICHEL                                                                                                                                       
D978-84-460-1676-29788446016762     0010850074     O.C. ADORNO 12 FILOSOFIA DE LA NUEVA MUSICA       0000010000001442000000150000500000400NF                  ADORNO, THEODOR W.                                                                                                                                     
D978-84-460-2391-39788446023913     0010210292     COMERCIO Y EL MEDITERRANEO EN LA ANTIGUEDAD       0000020000002740000000285000500000400NF                  CHIC, GENARO                                                                                                                                           
D978-84-460-2571-99788446025719     0011370005     TEORIA DE LA IMAGEN                               0000010000003942000000410000500000400NF                  MITCHELL, W.J.T.                                                                                                                                       
D978-84-460-2685-39788446026853     0010120007     REVOLUCION EN EL BURGO                            0000020000003462000000360000500000400NF                  ASTARITA, CARLOS                                                                                                                                       
D978-84-460-3831-39788446038313     0011140003     LIBRO DE LA ECONOMIA                              0000010000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-4226-69788446042266     0011140006     LIBRO DE LA CIENCIA                               0000010000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-4374-49788446043744     0011110023     MARXISMO Y FORMA                                  0000010000002452000000255000500000400NF                  JAMESON, FREDRIC                                                                                                                                       
D978-84-460-4480-29788446044802     0011140013     LIBRO DE LA HISTORIA                              0000010000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-4536-69788446045366     0011140015     LIBRO DE LA ASTRONOMIA                            0000010000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-4697-49788446046974     0011140014     LIBRO DE LA MITOLOGIA                             0000020000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-4789-69788446047896     0011050111     ANTIGUOS Y LOS POSMODERNOS                        0000020000002500000000260000500000400NF                  JAMESON, FREDRIC                                                                                                                                       
D978-84-460-4896-19788446048961     0010070020     FEMINISMOS EUROPEOS 1700-1950 (ANVERSO)           0000020000002692000000280000500000400NF                  OFFEN, KAREN                                                                                                                                           
D978-84-460-4977-79788446049777     0011140021     LIBRO DE LAS MATEMATICAS                          0000020000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-4993-79788446049937     0011000018     H.P. LOVECRAFT ANOTADO. MAS ALLA DE ARKHAM        0000020000005288000000550000500000400NF                  LOVECRAFT, H.P.                                                                                                                                        
D978-84-460-5120-69788446051206     0010060026     FLORENTINO PEREZ, EL PODER DEL PALCO              0000020000001538000000160000500000400NF                  LOAIZA, FONSI                                                                                                                                          
D978-84-460-5147-39788446051473     0010080034     DUQUESA DE LANGEAIS                               0000010000001442000000150000500000400NF                  BALZAC, HONORE DE                                                                                                                                      
